FAZENDA,ESTADO,MUNICÍPIO,Nº ANIMAL,LOTE,RAÇA,CATEGORIA,ECC,CICLICIDADE,PROTOCOLO,IMPLANTE P4,EMPRESA,GnRH NA IA,PGF NO D0,Dose PGF retirada,Marca PGF retirada,Dose CE,eCG,DOSE eCG,TOURO,RAÇA TOURO,EMPRESA TOURO,INSEMINADOR,Nº da IATF,DG,VAZIA COM OU SEM CL,PERDA
Fazenda Jardim,RS,Belo Horizonte,300029,LT0729PA,Charolais,Primípara,3.3,1,7 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5029,Nelore,Genex,Ana Maria,IATF 4029,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300030,LT0730ES,Senepol,Multípara,3.5,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5030,Hereford,CRV Lagoa,Patrícia Nunes,IATF 4030,1,1,0
Fazenda Verde Vale,MG,Curitiba,300031,LT0731SN,Brahman,Secundípara,3.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5031,Brangus,Alta Genetics,Mariana Oliveira,IATF 4031,0,0,1
Fazenda Esperança,RJ,Niterói,300032,LT0732BV,Canchim,Primípara precoce,3.9,0,7 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5032,Charolais,ABS Pecplan,Ricardo Santos,IATF 4032,1,1,0
Fazenda Santa Luzia,BA,Florianópolis,300033,LT0733DF,Simmental,Primípara,2.1,1,8 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5033,Senepol,Genex,Joana Mendes,IATF 4033,0,0,1
Fazenda do Campo,SP,Vitória,300034,LT0734PA,Limousin,Multípara,2.3,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5034,Brahman,CRV Lagoa,Carlos Silva,IATF 4034,1,1,0
Fazenda Nova Vida,MG,Salvador,300035,LT0735ES,Hereford,Secundípara,2.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5035,Angus,Alta Genetics,Mariana Oliveira,IATF 4035,0,0,1
Fazenda da Serra,RJ,Campinas,300036,LT0736SN,Brangus,Primípara precoce,3.1,0,8 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5036,Nelore,ABS Pecplan,Ricardo Santos,IATF 4036,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300037,LT0737BV,Charolais,Primípara,3.3,1,9 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5037,Hereford,Genex,Ana Maria,IATF 4037,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300038,LT0738DF,Senepol,Multípara,3.5,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5038,Brangus,CRV Lagoa,Patrícia Nunes,IATF 4038,1,1,0
Fazenda Verde Vale,MG,Curitiba,300039,LT0739PA,Brahman,Secundípara,3.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5039,Hereford,Alta Genetics,Mariana Oliveira,IATF 4039,0,0,1
Fazenda Esperança,RJ,Niterói,300040,LT0740ES,Canchim,Primípara precoce,3.9,0,9 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5040,Brangus,ABS Pecplan,Ricardo Santos,IATF 4040,1,1,0
Fazenda Santa Luzia,BA,Florianópolis,300041,LT0741SN,Simmental,Primípara,2.1,1,7 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5041,Charolais,Genex,Joana Mendes,IATF 4041,0,0,1
Fazenda do Campo,SP,Vitória,300042,LT0742BV,Limousin,Multípara,2.3,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5042,Senepol,CRV Lagoa,Carlos Silva,IATF 4042,1,1,0
Fazenda Nova Vida,MG,Salvador,300043,LT0743DF,Hereford,Secundípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5043,Brahman,Alta Genetics,Mariana Oliveira,IATF 4043,0,0,1
Fazenda da Serra,RJ,Campinas,300044,LT0744PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5044,Angus,ABS Pecplan,Ricardo Santos,IATF 4044,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300045,LT0745ES,Charolais,Primípara,3.3,1,8 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5045,Nelore,Genex,Ana Maria,IATF 4045,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300046,LT0746SN,Senepol,Multípara,3.5,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5046,Hereford,CRV Lagoa,Patrícia Nunes,IATF 4046,1,1,0
Fazenda Verde Vale,MG,Curitiba,300047,LT0747BV,Brahman,Secundípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5047,Brangus,Alta Genetics,Mariana Oliveira,IATF 4047,0,0,1
Fazenda Esperança,RJ,Niterói,300048,LT0748DF,Canchim,Primípara precoce,3.9,0,8 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5048,Charolais,ABS Pecplan,Ricardo Santos,IATF 4048,1,1,0
Fazenda Santa Luzia,BA,Florianópolis,300049,LT0749PA,Simmental,Primípara,2.1,1,9 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5049,Senepol,Genex,Joana Mendes,IATF 4049,0,0,1
Fazenda do Campo,SP,Vitória,300050,LT0750ES,Limousin,Multípara,2.3,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5050,Hereford,CRV Lagoa,Carlos Silva,IATF 4050,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300051,LT0801SN,Angus,Primípara,2.1,1,8 dias,Repro one,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5051,Nelore,Genex,Mariana Oliveira,IATF 4051,0,0,1
Fazenda Verde Vale,SP,Niterói,300052,LT0802BV,Nelore,Multípara,2.3,0,9 dias,Fertilcare 600,Bayer,1,0,2,Primer monodose,0.6 mg,Folligon,200 UI,Touro5052,Hereford,CRV Lagoa,Carlos Silva,IATF 4052,1,1,0
Fazenda Esperança,MG,Florianópolis,300053,LT0803DF,Hereford,Secundípara,2.7,1,7 dias,CIDR,Agener,0,1,1+1,Estrumate,1.0 mg,eCGEN,400 UI,Touro5053,Brangus,Alta Genetics,Joana Mendes,IATF 4053,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300054,LT0804PA,Brangus,Primípara precoce,3.1,0,8 dias,Primer monodose,Globalgen,1,0,2,Ciosin,0.5 mg,Novormon,300 UI,Touro5054,Charolais,CRV Lagoa,Ricardo Santos,IATF 4054,1,1,0
Fazenda do Campo,RS,Campinas,300055,LT0805ES,Charolais,Primípara,3.3,1,9 dias,Fertilcare 600,MSD,0,1,1,Repro one,0.5 mg,Folligon,300 UI,Touro5055,Senepol,Alta Genetics,Mariana Oliveira,IATF 4055,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300056,LT0806SN,Angus,Primípara,2.1,1,7 dias,CIDR,Bayer,1,0,2,Primer monodose,0.6 mg,Novormon,200 UI,Touro5056,Brahman,CRV Lagoa,Carlos Silva,IATF 4056,1,1,0
Fazenda Verde Vale,SP,Niterói,300057,LT0807BV,Nelore,Multípara,2.3,0,8 dias,Primer monodose,Agener,0,1,1,Ciosin,1.0 mg,eCGEN,400 UI,Touro5057,Angus,Alta Genetics,Mariana Oliveira,IATF 4057,0,0,1
Fazenda Esperança,MG,Florianópolis,300058,LT0808DF,Hereford,Secundípara,2.7,1,9 dias,Repro one,Globalgen,1,0,1+1,Lutalise,0.5 mg,Folligon,300 UI,Touro5058,Nelore,CRV Lagoa,Ricardo Santos,IATF 4058,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300059,LT0809PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,MSD,0,1,2,Primer monodose,0.6 mg,Novormon,200 UI,Touro5059,Hereford,Alta Genetics,Joana Mendes,IATF 4059,0,0,1
Fazenda do Campo,RS,Campinas,300060,LT0810ES,Charolais,Primípara,3.3,1,8 dias,CIDR,Bayer,1,0,1,Repro one,1.0 mg,Folligon,400 UI,Touro5060,Brangus,CRV Lagoa,Carlos Silva,IATF 4060,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300061,LT0811SN,Angus,Primípara,2.1,1,9 dias,Primer monodose,Agener,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5061,Charolais,Alta Genetics,Mariana Oliveira,IATF 4061,0,0,1
Fazenda Verde Vale,SP,Niterói,300062,LT0812BV,Nelore,Multípara,2.3,0,7 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5062,Senepol,CRV Lagoa,Ricardo Santos,IATF 4062,1,1,0
Fazenda Esperança,MG,Florianópolis,300063,LT0813DF,Hereford,Secundípara,2.7,1,8 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5063,Brahman,Alta Genetics,Joana Mendes,IATF 4063,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300064,LT0814PA,Brangus,Primípara precoce,3.1,0,9 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5064,Angus,CRV Lagoa,Carlos Silva,IATF 4064,1,1,0
Fazenda do Campo,RS,Campinas,300065,LT0815ES,Charolais,Primípara,3.3,1,7 dias,Primer monodose,Agener,0,1,1,Repro one,0.5 mg,Folligon,300 UI,Touro5065,Nelore,Alta Genetics,Mariana Oliveira,IATF 4065,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300066,LT0816SN,Angus,Primípara,2.1,1,8 dias,Fertilcare 600,MSD,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5066,Hereford,CRV Lagoa,Joana Mendes,IATF 4066,1,1,0
Fazenda Verde Vale,SP,Niterói,300067,LT0817BV,Nelore,Multípara,2.3,0,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Folligon,400 UI,Touro5067,Brangus,Alta Genetics,Carlos Silva,IATF 4067,0,0,1
Fazenda Esperança,MG,Florianópolis,300068,LT0818DF,Hereford,Secundípara,2.7,1,7 dias,CIDR,Bayer,1,0,2,Lutalise,0.5 mg,Novormon,300 UI,Touro5068,Charolais,CRV Lagoa,Mariana Oliveira,IATF 4068,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300069,LT0819PA,Brangus,Primípara precoce,3.1,0,8 dias,Primer monodose,Agener,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5069,Senepol,Alta Genetics,Joana Mendes,IATF 4069,0,0,1
Fazenda do Campo,RS,Campinas,300070,LT0820ES,Charolais,Primípara,3.3,1,9 dias,Fertilcare 600,MSD,1,0,2,Ciosin,1.0 mg,Novormon,400 UI,Touro5070,Brahman,CRV Lagoa,Carlos Silva,IATF 4070,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300071,LT0821SN,Angus,Primípara,2.1,1,7 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5071,Nelore,Alta Genetics,Mariana Oliveira,IATF 4071,0,0,1
Fazenda Verde Vale,SP,Niterói,300072,LT0822BV,Nelore,Multípara,2.3,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5072,Hereford,CRV Lagoa,Joana Mendes,IATF 4072,1,1,0
Fazenda Esperança,MG,Florianópolis,300073,LT0823DF,Hereford,Secundípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5073,Brangus,Alta Genetics,Carlos Silva,IATF 4073,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300074,LT0824PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5074,Charolais,CRV Lagoa,Mariana Oliveira,IATF 4074,1,1,0
Fazenda do Campo,RS,Campinas,300075,LT0825ES,Charolais,Primípara,3.3,1,8 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5075,Senepol,Alta Genetics,Joana Mendes,IATF 4075,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300076,LT0826SN,Angus,Primípara,2.1,1,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5076,Brahman,CRV Lagoa,Carlos Silva,IATF 4076,1,1,0
Fazenda Verde Vale,SP,Niterói,300077,LT0827BV,Nelore,Multípara,2.3,0,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5077,Hereford,Alta Genetics,Mariana Oliveira,IATF 4077,0,0,1
Fazenda Esperança,MG,Florianópolis,300078,LT0828DF,Hereford,Secundípara,2.7,1,8 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Folligon,300 UI,Touro5078,Brangus,CRV Lagoa,Joana Mendes,IATF 4078,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300079,LT0829PA,Brangus,Primípara precoce,3.1,0,9 dias,Fertilcare 600,MSD,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5079,Charolais,Alta Genetics,Carlos Silva,IATF 4079,0,0,1
Fazenda do Campo,RS,Campinas,300080,LT0830ES,Charolais,Primípara,3.3,1,7 dias,CIDR,Bayer,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5080,Senepol,CRV Lagoa,Mariana Oliveira,IATF 4080,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300081,LT0831SN,Angus,Primípara,2.1,1,8 dias,Primer monodose,Agener,0,1,1,Primer monodose,0.6 mg,Novormon,200 UI,Touro5081,Nelore,Alta Genetics,Joana Mendes,IATF 4081,0,0,1
Fazenda Verde Vale,SP,Niterói,300082,LT0832BV,Nelore,Multípara,2.3,0,9 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5082,Hereford,CRV Lagoa,Carlos Silva,IATF 4082,1,1,0
Fazenda Esperança,MG,Florianópolis,300083,LT0833DF,Hereford,Secundípara,2.7,1,7 dias,Repro one,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5083,Brangus,Alta Genetics,Mariana Oliveira,IATF 4083,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300084,LT0834PA,Brangus,Primípara precoce,3.1,0,8 dias,Fertilcare 600,Bayer,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5084,Brahman,CRV Lagoa,Joana Mendes,IATF 4084,1,1,0
Fazenda do Campo,RS,Campinas,300085,LT0835ES,Charolais,Primípara,3.3,1,9 dias,CIDR,Agener,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5085,Angus,Alta Genetics,Carlos Silva,IATF 4085,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300086,LT0836SN,Angus,Primípara,2.1,1,7 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5086,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4086,1,1,0
Fazenda Verde Vale,SP,Niterói,300087,LT0837BV,Nelore,Multípara,2.3,0,8 dias,Repro one,MSD,0,1,1+1,Ciosin,1.0 mg,Folligon,400 UI,Touro5087,Hereford,Alta Genetics,Joana Mendes,IATF 4087,0,0,1
Fazenda Esperança,MG,Florianópolis,300088,LT0838DF,Hereford,Secundípara,2.7,1,9 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5088,Brangus,CRV Lagoa,Carlos Silva,IATF 4088,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300089,LT0839PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,Agener,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5089,Charolais,Alta Genetics,Mariana Oliveira,IATF 4089,0,0,1
Fazenda do Campo,RS,Campinas,300090,LT0840ES,Charolais,Primípara,3.3,1,8 dias,CIDR,Globalgen,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5090,Senepol,CRV Lagoa,Joana Mendes,IATF 4090,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300091,LT0841SN,Angus,Primípara,2.1,1,9 dias,Primer monodose,MSD,0,1,1,Primer monodose,0.6 mg,Novormon,200 UI,Touro5091,Nelore,Alta Genetics,Carlos Silva,IATF 4091,0,0,1
Fazenda Verde Vale,SP,Niterói,300092,LT0842BV,Nelore,Multípara,2.3,0,7 dias,Primer monodose,Bayer,1,0,2,Estrumate,0.5 mg,Folligon,300 UI,Touro5092,Hereford,CRV Lagoa,Mariana Oliveira,IATF 4092,1,1,0
Fazenda Esperança,MG,Florianópolis,300093,LT0843DF,Hereford,Secundípara,2.7,1,8 dias,Repro one,Agener,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5093,Brangus,Alta Genetics,Joana Mendes,IATF 4093,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300094,LT0844PA,Brangus,Primípara precoce,3.1,0,9 dias,Fertilcare 600,Globalgen,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5094,Brahman,CRV Lagoa,Carlos Silva,IATF 4094,1,1,0
Fazenda do Campo,RS,Campinas,300095,LT0845ES,Charolais,Primípara,3.3,1,7 dias,CIDR,MSD,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5095,Angus,Alta Genetics,Mariana Oliveira,IATF 4095,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300096,LT0846SN,Angus,Primípara,2.1,1,8 dias,Primer monodose,Bayer,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5096,Nelore,CRV Lagoa,Joana Mendes,IATF 4096,1,1,0
Fazenda Verde Vale,SP,Niterói,300097,LT0847BV,Nelore,Multípara,2.3,0,9 dias,Repro one,Agener,0,1,1+1,Ciosin,1.0 mg,Folligon,400 UI,Touro5097,Hereford,Alta Genetics,Carlos Silva,IATF 4097,0,0,1
Fazenda Esperança,MG,Florianópolis,300098,LT0848DF,Hereford,Secundípara,2.7,1,7 dias,CIDR,Globalgen,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5098,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4098,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300099,LT0849PA,Brangus,Primípara precoce,3.1,0,8 dias,Fertilcare 600,MSD,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5099,Charolais,Alta Genetics,Joana Mendes,IATF 4099,0,0,1
Fazenda do Campo,RS,Campinas,300100,LT0850ES,Charolais,Primípara,3.3,1,9 dias,CIDR,Bayer,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5100,Senepol,CRV Lagoa,Carlos Silva,IATF 4100,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300101,LT0901SN,Angus,Primípara,2.1,1,7 dias,Repro one,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5101,Nelore,Genex,Mariana Oliveira,IATF 4101,0,0,1
